id_,created_at,tweetID,tweet,username,id_str,name,entity,commentcount,likes,retweets,quotes,replies,sentiment,bidang,gender,link,imageUrl
1266,February-24,1.75294E+18,Dijual Mobil. Honda Jazz (Fit) Tahun 2003 Transmisi Otomatis Warna Kuning Asli CBU Monggo kalo ada yg berminat.. 0822.6666.2258 HaturnuhunTranslate post,akangasepso,1245952021,Asep Somantri,Honda,0,165,184,1193,0,NULL,NULL,NULL,https://twitter.com/akangasepso/status/1752944306984497219,https://pbs.twimg.com/media/GFO1RI5boAAOU2Q.jpg:large
1269,February-24,1.75296E+18,Coba dong jawab pertanyaannya dan Daimin bakal kirimin 200 ribu saldo Astrapay untuk 4 orang yang beruntung! Syaratnya: - Follow @DaihatsuInd - RT & LIKE tweet ini - Reply jawaban sebanyak-banyakny...,DaihatsuInd,86864472,Daihatsu Indonesia,Daihatsu,1199,233969,10961,52578,1199,NULL,NULL,NULL,https://twitter.com/DaihatsuInd/status/1752962601682898995,https://pbs.twimg.com/media/GFPGF-rboAAFspo.png:large
1270,February-24,1.753E+18,Ada yang tiap ganti tahun langsung cek kalender baru buat liat tanggal merah yang banyak bulan apa aja? Ada bangeeet ??Translate post,DaihatsuInd,86864472,Daihatsu Indonesia,Daihatsu,3,234141,10929,53291,3,NULL,NULL,NULL,https://twitter.com/DaihatsuInd/status/1752995212778258748,https://pbs.twimg.com/profile_images/1447891799842779143/9fHut2AP_200x200.jpg
1273,February-24,1.75301E+18,Yang bener aja.. Untung banget dong!!! ? Niatnya beli city car malah dapet Urban SUV yang tampilannya mempesona gini. Gimana nggak bikin orang pada ngelirik!? #Suzuki #SuzukiIndonesia #SuzukiTeM...,SuzukiIndonesia,214823582,Official Suzuki Indonesia,Suzuki,1,56246,35,34529,1,NULL,NULL,NULL,https://twitter.com/SuzukiIndonesia/status/1753011999460696354,https://pbs.twimg.com/media/GFPzG9RbcAAU7vU.jpg:large
1271,February-24,1.75303E+18,"Katanya sih mobil FWD yang gapernah dicaci karena ketolong turbo. Sebenernya ga banyak yang bisa tak komen soal mobil ini, soalnya menurutku kalo mau komen ini mobil sih harusnya pake sudut...",MasMasBiassaa,1.54469E+18,Tukang Mobil Mobilan,Honda,39,74712,478,30959,39,NULL,NULL,NULL,https://twitter.com/MasMasBiassaa/status/1753029612660298141,https://pbs.twimg.com/media/GFQDH9ga8AAVzWI.jpg:large
1246,February-24,1.75322E+18,"Toyota Hadirkan New Hilux Double Cabin 4×4 yang Tampil Lebih Gagah dan Tangguh, Indonesia Menjadi Negara Pertama yang Memperkenalkan",AhmadRi65992027,2173102243,ruangOto.com,Daihatsu,0,NULL,NULL,NULL,3,NULL,NULL,NULL,https://twitter.com/AhmadRi65992027,https://pbs.twimg.com/profile_images/618972753127804928/kb2k1eBl_200x200.jpg
1277,February-24,1.75324E+18,"Hyundai Creta memiliki konfigurasi 5 seater yang cocok bagi Anda yang senang berpergian, seat belakang pada Creta juga dapat dilipat untuk menambah ruang simpan pada mobil ini. Kunjungi showroom...",hyundaimobil,160138881,Hyundai Indonesia,Hyundai,0,12626,96,7015,0,NULL,NULL,NULL,https://twitter.com/hyundaimobil/status/1753242246667977023,https://pbs.twimg.com/media/GFTEXoubcAAywdd.jpg:large
679,February-24,1.75331E+18,"Kasat Lantas Polrestabes Makassar AKBP Amin Toha menyebut, pihaknya telah menerima laporan terkait bayi 15 bulan yang terlindas mobil Mitsubishi Pajero Sport. Ida Bagus Putu Deni Saputra (@IBPutuSaputra) on X Standar ?",IBPutuSaputra,490963700,Ida Bagus Putu Deni Saputra,Mitsubishi,NULL,NULL,NULL,NULL,184,NULL,NULL,NULL,https://twitter.com/IBPutuSaputra,https://pbs.twimg.com/profile_images/1548594318667300864/TiMAFLXt_200x200.jpg
285,February-24,1.75336E+18,"Ngalamin lagi, ga mandang hijab dalem engga sama aja, lebih ke personalnya aja bermasalah ?",irfansajaudeh,722193098,Irfan,Wuling,0,NULL,NULL,NULL,118,NULL,NULL,NULL,https://twitter.com/irfansajaudeh,https://pbs.twimg.com/media/GFSnD_ubAAAHln6.jpg:large
1278,February-24,1.75337E+18,#2 Cek telapak ban Pastikan tidak ada benda asing tajam yang menancap ke ban mobil seperti batu ataupun paku.Translate post,SuzukiIndonesia,214823582,Official Suzuki Indonesia,Suzuki,1,56164,35,34457,1,NULL,NULL,NULL,https://twitter.com/SuzukiIndonesia/status/1753368816174993895,https://pbs.twimg.com/profile_images/1670997078397558784/H9lEhaOq_200x200.jpg
1275,February-24,1.75338E+18,"Lagi di jalan pulang, paling enak emang dengerin lagu-lagu sendu biar kaya di film-film. Coba dong share lirik lagu patah hati paling ngilu versi kalian! #ToyotaAfterHoursTranslate post",ToyotaID,64310527,Toyota Indonesia,Toyota,6,182684,17892,50896,6,NULL,NULL,NULL,https://twitter.com/ToyotaID/status/1753380242293760360,https://pbs.twimg.com/media/GFU6KjGbcAAy8CD.jpg:large
1133,February-24,1.7536E+18,"Seorang balita berusia 15 bulan mengalami kecelakaan tragis. Ia terlindas mobil Mitsubishi Pajero ketika sedang bermain di depan rumahnya di Jalan Adyaksa, Prasetya Aji (@z_aj1xx) on X So many people who love you. Don't focus on the people who don't ? keep positive ""new acc"" ? Turut serta membantu mencerdaskan anak bangsa",z_aj1xx,1.48107E+18,Prasetya Aji,Mitsubishi,NULL,NULL,NULL,NULL,657,NULL,NULL,NULL,https://twitter.com/z_aj1xx,https://pbs.twimg.com/profile_images/1745040732766027776/KdoxuZAl_200x200.jpg
1280,February-24,1.75374E+18,Sama-sama spesial dan jadi favorit banyak orang~ #Suzuki #SuzukiIndonesia #SuzukiTeManBerkendara #YourGearTranslate post,SuzukiIndonesia,214823582,Official Suzuki Indonesia,Suzuki,2,56178,35,34457,2,NULL,NULL,NULL,https://twitter.com/SuzukiIndonesia/status/1753736441841221756,https://pbs.twimg.com/media/GFaF_o6aIAAoGWW.jpg:large
1279,February-24,1.75378E+18,"Halo Sobat BRI, Selain memudahkan dan bikin transaksi jadi lebih cepat, ternyata transaksi pakai EDC BRI bisa dapet mobil lho. Nah, contohnya Ibu Luciana, pedagang Tanah Abang ini mendapatkan...",promo_BRI,1398703135,BANK BRI,Hyundai,12,181872,5,45760,12,NULL,NULL,NULL,https://twitter.com/promo_BRI/status/1753777108562973113,https://pbs.twimg.com/ext_tw_video_thumb/1753776227138314240/pu/img/ea6QSCjEBj_faUIq.jpg:large
1284,February-24,1.75398E+18,Dapatkan Mobil Honda Impian Anda sekarang juga di Honda Promo Jakarta. DP Rendah mulai dari 20% dan Angsuran Ringan. Hubungi kami sekarang juga. #hondabrio #hondabrv #hondawrv #hondahrv #hondacrv...,HondaPromo_Jkt,1.75397E+18,Bimo,Honda,0,1,2,2,0,NULL,NULL,NULL,https://twitter.com/HondaPromo_Jkt/status/1753977721842209190,https://pbs.twimg.com/media/GFdgbTybMAA-TDm.jpg:large
1281,February-24,1.754E+18,"Mantan Kades Beri Anak 17 Tahun Kado Mobil Toyota Supra Seharga Rp2,2 Miliar, Intip SpesifikasinyaTranslate post",officialinews_,132078023,iNews,Toyota,0,430878,0,181860,0,NULL,NULL,NULL,https://twitter.com/officialinews_/status/1754001836233699455,https://pbs.twimg.com/profile_images/1636704614966874114/90wa1guQ_200x200.jpg
1288,February-24,1.75409E+18,"Selamat Kepada Para Pemenang #WulingQuiz Tebak Mobil Wuling @mrifqi_s @natali4rose @youngpaphi @ipar @D_vhy132 Mohon kirim data diri Anda dengan format Nama Lengkap, Alamat Lengkap, No. HP,...",WulingMotorsID,7.57798E+17,WulingMotorsID,Wuling,8,36789,199,12706,8,NULL,NULL,NULL,https://twitter.com/WulingMotorsID/status/1754093757665009692,https://pbs.twimg.com/media/GFfK8NAawAAg_tW.jpg:large
1282,February-24,1.7541E+18,Akun Instagram TMC Polda Metro Jaya mengunggah video berisi pencopotan strobo biru yang ada di mobil Toyota Kijang Innova Zenix berpelat nomor ZZD.Translate post,detikcom,69183155,detikcom,Toyota,0,21718891,41,2321654,0,NULL,NULL,NULL,https://twitter.com/detikcom/status/1754096459828330691,https://pbs.twimg.com/profile_images/1683699442195779585/RiZF3LYN_200x200.jpg
1286,February-24,1.75411E+18,"Bukan pesawat tapi bisa banget Auto-pilot! ? Pokoknya dijamin anti pegel nyetir di tol pake Suzuki Baleno, soalnya fitur Cruise Control-nya bikin kamu nyaman dan makin fokus di perjalanan....",SuzukiIndonesia,214823582,Official Suzuki Indonesia,Suzuki,47,56307,34,34970,47,NULL,NULL,NULL,https://twitter.com/SuzukiIndonesia/status/1754105570322518512,https://pbs.twimg.com/media/GFfVtN-bwAAF5hd.jpg:large
1285,February-24,1.75411E+18,Bermanuver di jalan juga harus pinter-pinter~ Pahami kiat-kiat bermanuver biar kamu nyetirnya makin jago! #Suzuki #SuzukiIndonesia #SuzukiTeManBerkendara #YourGearTranslate post,SuzukiIndonesia,214823582,Official Suzuki Indonesia,Suzuki,2,56329,34,34992,2,NULL,NULL,NULL,https://twitter.com/SuzukiIndonesia/status/1754105827382931948,https://pbs.twimg.com/media/GFfV8QNa4AA-t0g.jpg:large
1283,February-24,1.75411E+18,"Malam, dibalik jadi ""malam"". Kata apa lagi yang kalo dibalik tetep sama? ?Translate post",DaihatsuInd,86864472,Daihatsu Indonesia,Daihatsu,52,234039,10929,53291,52,NULL,NULL,NULL,https://twitter.com/DaihatsuInd/status/1754112572805255193,https://pbs.twimg.com/profile_images/1447891799842779143/9fHut2AP_200x200.jpg
1287,February-24,1.75427E+18,"Kecelakaan maut mobil Mitsubishi Expander menewaskan bocah 8 tahun di Pekanbaru, Riau. Polisi telah amankan pelaku untuk dimintai keterangan.Translate post",kompascom,23343960,Kompas.com,Mitsubishi,0,8600120,29,2473971,0,NULL,NULL,NULL,https://twitter.com/kompascom/status/1754270639484223868,https://pbs.twimg.com/profile_images/1577144849437888514/d9x3nKN8_200x200.jpg
1289,February-24,1.75432E+18,Tips Kuliah Sambil Bekerja https://ut-careerportal.prosple.com/career-planning/strategi-menjalani-kuliah-sambil-kerja… Info loker - RSM Indonesia https://ut-careerportal.prosple.com/graduate-empl...,UnivTerbuka,126557271,Universitas Terbuka,Toyota,4,812715,9,57185,4,NULL,NULL,NULL,https://twitter.com/UnivTerbuka/status/1754317070282707192,https://pbs.twimg.com/media/GFiWEx-aEAAJrbl.jpg:large
1291,February-24,1.75438E+18,"WARGA KEJAR MALING HINGGA TERTANGKAP ?‼ Aksi kejar-kejaran antara warga dengan komplotan maling di sebuah rumah terjadi di Kabupaten Bogor, Jawa Barat, Sabtu (3/2/2024). Pelaku 3 orang...",RadioElshinta,121640063,Radio Elshinta,Daihatsu,1,3696829,11,1478741,1,NULL,NULL,NULL,https://twitter.com/RadioElshinta/status/1754375178644307996,https://pbs.twimg.com/ext_tw_video_thumb/1754373746192982016/pu/img/_erFpzBnezBtFdkM.jpg:large
1290,February-24,1.75445E+18,"16.50 #LalinSonora Simpang susun Cikunir bawah arah cikampek ada kecelakaan beruntun 3 mobil toyota Calya/sigra, truk kecil, dan minibus. @NoviaSariDewi20Translate post",SonoraFM92,180696019,Radio Sonora Jakarta,Toyota,0,317832,156,886852,0,NULL,NULL,NULL,https://twitter.com/SonoraFM92/status/1754454229765546170,https://pbs.twimg.com/media/GFkS0YVaUAE01ja.jpg:large
998,February-24,1.75465E+18,@NarasiNewsroom. ·. Jan 1. Duh terus gimana ya mobil Daihatsu dan Toyota di Indonesia? Tonton sampai habis deh coba | Narasi Daily. Embedded video. 1:30. (@) on X Mercedes Benz CEO retires after 49 years and BMW released this video the moment it was announced.,mrizkypk,92974840,Moch Rizky Prasetya Kurniadi,Daihatsu,NULL,NULL,NULL,NULL,1525,NULL,NULL,NULL,https://twitter.com/mrizkypk,https://pbs.twimg.com/ext_tw_video_thumb/1754379741757317120/pu/img/RQCrlPmHIRxVAOUd.jpg:large
